-228.0, -72.0
-228.0, -70.5
-228.0, -46.5
-228.0, 33.0
-228.0, 34.5
-226.5, -72.0
-226.5, -70.5
-226.5, -46.5
-226.5, 33.0
-226.5, 34.5
-225.0, -72.0
-225.0, -70.5
-225.0, -46.5
-225.0, 33.0
-225.0, 34.5
-223.5, -72.0
-223.5, -70.5
-223.5, -46.5
-223.5, 33.0
-223.5, 34.5
-222.0, -72.0
-222.0, -70.5
-222.0, -46.5
-222.0, 33.0
-222.0, 34.5
-220.5, -72.0
-220.5, -70.5
-220.5, -46.5
-220.5, 33.0
-220.5, 34.5
-219.0, -72.0
-219.0, -70.5
-219.0, -46.5
-219.0, 33.0
-219.0, 34.5
-217.5, -72.0
-217.5, -70.5
-217.5, -46.5
-217.5, 33.0
-217.5, 34.5
-216.0, -72.0
-216.0, -70.5
-216.0, -46.5
-216.0, 33.0
-216.0, 34.5
-214.5, -72.0
-214.5, -70.5
-214.5, -46.5
-214.5, 33.0
-214.5, 34.5
-213.0, -72.0
-213.0, -70.5
-213.0, -46.5
-213.0, 33.0
-213.0, 34.5
-211.5, -72.0
-211.5, -70.5
-211.5, -46.5
-211.5, 33.0
-211.5, 34.5
-210.0, -72.0
-210.0, -70.5
-210.0, -46.5
-210.0, 33.0
-210.0, 34.5
-208.5, -72.0
-208.5, -70.5
-208.5, -46.5
-208.5, 33.0
-208.5, 34.5
-207.0, -72.0
-207.0, -70.5
-207.0, -46.5
-207.0, 33.0
-207.0, 34.5
-205.5, -72.0
-205.5, -70.5
-205.5, -46.5
-205.5, 33.0
-205.5, 34.5
-204.0, -72.0
-204.0, -70.5
-204.0, -46.5
-204.0, 33.0
-204.0, 34.5
-204.0, 36.0
-202.5, -72.0
-202.5, -70.5
-202.5, -46.5
-202.5, 33.0
-202.5, 34.5
-202.5, 36.0
-202.5, 37.5
-202.5, 39.0
-202.5, 40.5
-202.5, 42.0
-202.5, 43.5
-202.5, 45.0
-202.5, 46.5
-202.5, 48.0
-202.5, 49.5
-202.5, 51.0
-202.5, 52.5
-202.5, 54.0
-202.5, 55.5
-202.5, 57.0
-202.5, 58.5
-202.5, 60.0
-202.5, 61.5
-202.5, 63.0
-202.5, 64.5
-202.5, 66.0
-202.5, 67.5
-202.5, 69.0
-202.5, 70.5
-202.5, 72.0
-202.5, 73.5
-202.5, 75.0
-202.5, 76.5
-202.5, 78.0
-202.5, 79.5
-202.5, 81.0
-202.5, 82.5
-202.5, 84.0
-202.5, 85.5
-202.5, 87.0
-202.5, 88.5
-202.5, 90.0
-202.5, 91.5
-202.5, 93.0
-202.5, 94.5
-202.5, 96.0
-202.5, 97.5
-202.5, 99.0
-202.5, 100.5
-202.5, 102.0
-202.5, 103.5
-202.5, 105.0
-202.5, 106.5
-202.5, 108.0
-202.5, 109.5
-202.5, 111.0
-202.5, 112.5
-202.5, 114.0
-202.5, 115.5
-202.5, 117.0
-202.5, 118.5
-202.5, 120.0
-202.5, 121.5
-202.5, 123.0
-202.5, 124.5
-202.5, 126.0
-202.5, 127.5
-202.5, 129.0
-202.5, 130.5
-201.0, -72.0
-201.0, -70.5
-201.0, -46.5
-201.0, 33.0
-201.0, 34.5
-201.0, 36.0
-201.0, 67.5
-201.0, 69.0
-201.0, 70.5
-199.5, -72.0
-199.5, -70.5
-199.5, -46.5
-199.5, 33.0
-199.5, 34.5
-199.5, 69.0
-198.0, -72.0
-198.0, -70.5
-198.0, -46.5
-198.0, 33.0
-198.0, 34.5
-198.0, 69.0
-196.5, -72.0
-196.5, -70.5
-196.5, -46.5
-196.5, 33.0
-196.5, 34.5
-196.5, 69.0
-195.0, -72.0
-195.0, -70.5
-195.0, -46.5
-195.0, 33.0
-195.0, 34.5
-195.0, 69.0
-193.5, -72.0
-193.5, -70.5
-193.5, -46.5
-193.5, 33.0
-193.5, 34.5
-193.5, 69.0
-192.0, -72.0
-192.0, -70.5
-192.0, -46.5
-192.0, 33.0
-192.0, 34.5
-192.0, 69.0
-190.5, -72.0
-190.5, -70.5
-190.5, -46.5
-190.5, 33.0
-190.5, 34.5
-190.5, 69.0
-189.0, -72.0
-189.0, -70.5
-189.0, -46.5
-189.0, 33.0
-189.0, 34.5
-189.0, 69.0
-187.5, -72.0
-187.5, -70.5
-187.5, -46.5
-187.5, 33.0
-187.5, 34.5
-187.5, 69.0
-186.0, -72.0
-186.0, -70.5
-186.0, -46.5
-186.0, 33.0
-186.0, 34.5
-186.0, 69.0
-184.5, -72.0
-184.5, -70.5
-184.5, -46.5
-184.5, 33.0
-184.5, 34.5
-184.5, 69.0
-183.0, -72.0
-183.0, -70.5
-183.0, -46.5
-183.0, 33.0
-183.0, 34.5
-183.0, 69.0
-181.5, -72.0
-181.5, -70.5
-181.5, -46.5
-181.5, 33.0
-181.5, 34.5
-181.5, 69.0
-180.0, -72.0
-180.0, -70.5
-180.0, -46.5
-180.0, 33.0
