-228, 34
-228, -46
-228, -71
-203, 131
-203, 69
-203, 34
-153, 34
-153, -18
-153, -46
-153, -71
-153, -101
-153, -133
-138, 131
-138, 110
-138, 71
-138, 34
-98, 110
-98, 72
-98, 45
-98, 34
-98, -18
-98, -73
-102, -133
-68, 45
-68, -18
-68, -39
-68, -73
-68, -91
-68, -133
-13, 131
-13, 110
-13, 54
-13, 45
-13, 8
-12, -39
13, 54
12, 15
12, -39
37, -39
37, -65
37, -95
37, -133
67, 131
67, 54
66, 15
66, -39
67, -65
67, -100
67, -133
122, 131
122, 79
116, 17
121, -39
121, -65
121, -100
121, -133
147, 79
147, 15
177, 131
177, 100
177, 79
178, 65
178, 15
178, -41
176, -103
176, -133
230, 131
230, 100
230, 65
226, 55
230, -66
230, -103
230, -133
